,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49144.12863445282
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7203588485717773
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.346693992615
5,2019-03-29,SELL,NVDA,25169,4.400113582611084,162996.805454731
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.102732181549072
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.65558862686
8,2019-04-30,SELL,NVDA,18473,4.451751232147217,227104.8561000824
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.376127243041992
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.06730556488
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.38767242432
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.617904663085938
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.737716674805
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.6832122802734375
15,2019-07-31,SELL,NVDA,955,4.3604021072387695,4164.867224693298
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.145756721496582
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.27456665039
18,2019-08-30,BUY,NVDA,378,4.154505252838135,27238.871581077576
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.882405281066895
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8768.096732139587
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.99062442779541
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.610798835754
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.760640144348
24,2019-10-31,BUY,NVDA,3060,5.050087928771973,270.4915781021118
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.622221946716
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.46230983734
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,187.8407735824585
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.7707662582397
29,2019-12-31,SELL,NVDA,11901,5.78375244140625,69990.20857143402
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.85523891449
31,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.8262434005737305
