,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49143.91475272179
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.506477117538452
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.13281226158
5,2019-03-29,SELL,NVDA,25169,4.400115013122559,162996.62757754326
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.9248549938201904
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.47771143913
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.63417983055
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.154206991195679
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.84538531303
11,2019-05-31,BUY,NVDA,38293,3.4572551250457764,66088.17488193512
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.40511417388916
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.52492618561
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.47042179107666016
15,2019-07-31,SELL,NVDA,955,4.360403537750244,4164.65580034256
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.934332370758057
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.063142299652
18,2019-08-30,BUY,NVDA,377,4.154505252838135,27242.814661979675
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.825486183166504
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8772.040790081024
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.934682369232178
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.55485677719
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.704698085785
24,2019-10-31,BUY,NVDA,3061,5.0500874519348145,269.38700771331787
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32404.517651557922
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28613.357739448547
27,2019-11-29,BUY,NVDA,5232,5.433221340179443,186.7436876296997
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1156.673680305481
29,2019-12-31,SELL,NVDA,11901,5.783753395080566,69989.1228351593
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70016.76950263977
31,2019-12-31,BUY,CSCO,1731,40.44773483276367,1.7405071258544922
