,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104015350342,10137.477524280548
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.821259021759033
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49144.19486236572
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7865867614746094
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.41292190552
5,2019-03-29,SELL,NVDA,25169,4.400113582611084,162996.8716826439
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.168960094451904
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.72181653976
8,2019-04-30,SELL,NVDA,18473,4.451749801635742,227104.89590215683
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.415929317474365
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.1071076393
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.42747449875
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.65770673751831
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.77751874924
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.7168664932250977
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.899968147278
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.178500175476074
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.30731010437
18,2019-08-30,BUY,NVDA,378,4.154505729675293,27238.90414428711
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.914968490600586
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8768.130272388458
21,2019-09-30,BUY,TSLA,543,16.142000198364258,3.0241646766662598
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.644339084625
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.794180393219
24,2019-10-31,BUY,NVDA,3060,5.050086975097656,270.52803659439087
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.658680438995
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.49876832962
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,187.87972688674927
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.8097195625305
29,2019-12-31,SELL,NVDA,11901,5.783753871917725,69990.26454925537
30,2019-12-31,BUY,CSCO,1730,40.44773483276367,15.68328857421875
