,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49144.125594854355
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7173192501068115
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.34365439415
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.81441664696
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.111694097518921
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.66455054283
8,2019-04-30,SELL,NVDA,18473,4.451747417449951,227104.79459309578
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.31462025642395
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.00579857826
11,2019-05-31,BUY,NVDA,38293,3.4572558403015137,66088.3079059124
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.538138151168823
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.65795016289
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.5972979068756104
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.780399560928
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.058931589126587
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.18774151802
18,2019-08-30,BUY,NVDA,378,4.154505729675293,27238.78457570076
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.795399904251099
20,2019-09-30,SELL,NVDA,2049,4.272919654846191,8768.007772684097
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.901664972305298
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.521839380264
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.671680688858
24,2019-10-31,BUY,NVDA,3060,5.0500874519348145,270.4040777683258
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.620722055435
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.46080994606
27,2019-11-29,BUY,NVDA,5232,5.433221340179443,209.84675812721252
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.7767508029938
29,2019-12-31,SELL,NVDA,11902,5.783752918243408,70018.00398373604
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.9749882221221924
