,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104969024658,10137.200454235077
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.544188976287842
2,2019-02-28,SELL,NVDA,12749,3.8539788722991943,49143.92083191872
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.512556314468384
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.13889145851
5,2019-03-29,SELL,NVDA,25169,4.400115489959717,162996.64565825462
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.9429357051849365
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.4957921505
8,2019-04-30,SELL,NVDA,18473,4.451747417449951,227104.62583470345
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.145861864089966
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.83704018593
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.15740704536
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.387639284133911
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.50745129585
14,2019-06-28,BUY,NVDA,12893,4.056700706481934,0.4652426242828369
15,2019-07-31,SELL,NVDA,955,4.360401153564453,4164.648344278336
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.926876306533813
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.055686235428
18,2019-08-30,BUY,NVDA,377,4.154504776000977,27242.80738568306
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,16.818209886550903
20,2019-09-30,SELL,NVDA,2049,4.27292013168335,8772.031559705734
21,2019-09-30,BUY,TSLA,543,16.142000198364258,6.925451993942261
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19516.5456264019
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15727.695467710495
24,2019-10-31,BUY,NVDA,3061,5.050086975097656,269.3792369365692
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32426.59588122368
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28635.435969114304
27,2019-11-29,BUY,NVDA,5232,5.433223724365234,208.80944323539734
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1178.7394359111786
29,2019-12-31,SELL,NVDA,11902,5.783752918243408,70016.96666884422
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,1.9376733303070068
