,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104730606079,10137.269721746445
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.61345648765564
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49143.98705983162
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.578784227371216
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.205119371414
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.68788313866
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,3.9851605892181396
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.53801703453
8,2019-04-30,SELL,NVDA,18473,4.451747894287109,227104.6768682003
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.196895360946655
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.88807368279
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.20844054222
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.4386727809906
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.55848479271
14,2019-06-28,BUY,NVDA,12893,4.056701183319092,0.5101282596588135
15,2019-07-31,SELL,NVDA,955,4.360402584075928,4164.69459605217
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.973128080368042
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.101938009262
18,2019-08-30,BUY,NVDA,378,4.154504776000977,27238.699132680893
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.709956884384155
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8767.925260782242
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.819153070449829
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.43932747841
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.589168787003
24,2019-10-31,BUY,NVDA,3060,5.05008602142334,270.32594323158264
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.456587076187
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.296674966812
27,2019-11-29,BUY,NVDA,5232,5.433221340179443,187.68262314796448
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.6126158237457
29,2019-12-31,SELL,NVDA,11901,5.78375244140625,69990.05042099953
30,2019-12-31,BUY,CSCO,1730,40.447731018066406,15.475759744644165
