,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.4071044921875,10137.338989257812
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.682723999023438
2,2019-02-28,SELL,NVDA,12749,3.853978395462036,49144.05328774452
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.645012140274048
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.27134728432
5,2019-03-29,SELL,NVDA,25169,4.400113582611084,162996.7301080227
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.027385473251343
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.58024191856
8,2019-04-30,SELL,NVDA,18473,4.451748371124268,227104.72790169716
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.247928857803345
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198476.93910717964
11,2019-05-31,BUY,NVDA,38293,3.4572560787200928,66088.23208475113
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.462316989898682
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.58212900162
14,2019-06-28,BUY,NVDA,12893,4.05670166015625,0.5276246070861816
15,2019-07-31,SELL,NVDA,955,4.360401630401611,4164.711181640625
16,2019-07-31,BUY,TSLA,257,16.150667190551758,13.989713668823242
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.118523597717
18,2019-08-30,BUY,NVDA,378,4.154505252838135,27238.715538024902
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.726362228393555
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8767.941666126251
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.8355584144592285
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.45573282242
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.605574131012
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.34088945388794
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.557533740997
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.397621631622
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,209.7760853767395
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.7060780525208
29,2019-12-31,SELL,NVDA,11902,5.783752918243408,70017.93331098557
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.90431547164917
