,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49144.125594854355
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7173192501068115
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.34365439415
5,2019-03-29,SELL,NVDA,25169,4.400115013122559,162996.83841967583
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.13569712638855
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.6885535717
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.84502196312
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.365049123764038
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.0562274456
11,2019-05-31,BUY,NVDA,38293,3.4572560787200928,66088.34920501709
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.579437255859375
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.69924926758
14,2019-06-28,BUY,NVDA,12893,4.056701183319092,0.6508927345275879
15,2019-07-31,SELL,NVDA,955,4.360400676727295,4164.833539009094
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.11207103729248
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.240880966187
18,2019-08-30,BUY,NVDA,378,4.154505252838135,27238.83789539337
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.848719596862793
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8768.06402349472
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.957915782928467
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.578090190887
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.727931499481
24,2019-10-31,BUY,NVDA,3060,5.05008602142334,270.4647059440613
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.68135023117
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.521438121796
27,2019-11-29,BUY,NVDA,5232,5.43322229385376,209.90239667892456
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.8323893547058
29,2019-12-31,SELL,NVDA,11902,5.783752918243408,70018.05962228775
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,3.0306267738342285
