,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.853978157043457,49144.119515657425
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.71124005317688
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.33757519722
5,2019-03-29,SELL,NVDA,25169,4.4001145362854,162996.82033896446
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.117616415023804
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.67047286034
8,2019-04-30,SELL,NVDA,18473,4.451747894287109,227104.8093240261
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.32935118675232
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.0205295086
11,2019-05-31,BUY,NVDA,38293,3.4572556018829346,66088.33176660538
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.561998844146729
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.681810855865
14,2019-06-28,BUY,NVDA,12893,4.056701183319092,0.6334543228149414
15,2019-07-31,SELL,NVDA,955,4.3604021072387695,4164.81746673584
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.095998764038086
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.224808692932
18,2019-08-30,BUY,NVDA,378,4.154505729675293,27238.82164287567
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.832467079162598
20,2019-09-30,SELL,NVDA,2049,4.272921085357666,8768.04777097702
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.9416632652282715
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.561837673187
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.711678981781
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.446994304657
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.57763814926
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.417726039886
27,2019-11-29,BUY,NVDA,5232,5.433222770690918,187.79618978500366
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.726182460785
29,2019-12-31,SELL,NVDA,11901,5.783753871917725,69990.18101215363
30,2019-12-31,SELL,TSLA,1,27.64666748046875,70017.8276796341
31,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.7986841201782227
