,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104015350342,10137.477524280548
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.821259021759033
2,2019-02-28,SELL,NVDA,12749,3.8539786338806152,49144.19486236572
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.7865867614746094
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.41292190552
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.88368415833
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.180961608886719
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.7338180542
8,2019-04-30,SELL,NVDA,18473,4.451749324798584,227104.89909505844
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.419122219085693
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.11030054092
11,2019-05-31,BUY,NVDA,38293,3.4572553634643555,66088.43066740036
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.660899639129639
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.78071165085
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.7200593948364258
15,2019-07-31,SELL,NVDA,955,4.360400199890137,4164.902250289917
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.180782318115234
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.30959224701
18,2019-08-30,BUY,NVDA,378,4.154504776000977,27238.90678691864
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.917611122131348
20,2019-09-30,SELL,NVDA,2049,4.272920608520508,8768.131937980652
21,2019-09-30,BUY,TSLA,543,16.142000198364258,3.0258302688598633
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.64600467682
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.795845985413
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.5311613082886
25,2019-11-29,SELL,TSLA,1455,22.086000442504883,32405.661805152893
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28614.501893043518
27,2019-11-29,BUY,NVDA,5232,5.433221817016602,187.8853464126587
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1157.81533908844
29,2019-12-31,SELL,NVDA,11901,5.78375244140625,69990.25314426422
30,2019-12-31,BUY,CSCO,1730,40.44773864746094,15.665284156799316
