,Date,Action,Ticker,Quantity,Price,Cash
0,2019-01-31,BUY,NVDA,290529,3.407104253768921,10137.40825676918
1,2019-01-31,BUY,TSLA,492,20.584667205810547,9.751991510391235
2,2019-02-28,SELL,NVDA,12749,3.853977918624878,49144.11647605896
3,2019-02-28,BUY,TSLA,2342,20.982667922973633,2.708200454711914
4,2019-03-06,SELL,TSLA,2834,18.43600082397461,52250.334535598755
5,2019-03-29,SELL,NVDA,25169,4.400114059448242,162996.80529785156
6,2019-03-29,BUY,TSLA,8775,18.57466697692871,4.102575302124023
7,2019-04-26,SELL,TSLA,8775,16.5086669921875,144867.65543174744
8,2019-04-30,SELL,NVDA,18473,4.451748847961426,227104.81190013885
9,2019-04-30,BUY,TSLA,14107,16.097999572753906,10.331927299499512
10,2019-05-18,SELL,TSLA,14107,14.0686674118042,198477.02310562134
11,2019-05-31,BUY,NVDA,38293,3.4572558403015137,66088.32521295547
12,2019-05-31,BUY,TSLA,5266,12.54800033569336,10.555445194244385
13,2019-06-28,SELL,TSLA,3520,14.855999946594238,52303.67525720596
14,2019-06-28,BUY,NVDA,12893,4.056702136993408,0.6146049499511719
15,2019-07-31,SELL,NVDA,955,4.360400676727295,4164.797251224518
16,2019-07-31,BUY,TSLA,257,16.150667190551758,14.075783252716064
17,2019-08-16,SELL,TSLA,2003,14.37600040435791,28809.20459318161
18,2019-08-30,BUY,NVDA,378,4.154505252838135,27238.801607608795
19,2019-08-30,BUY,TSLA,1842,14.780667304992676,12.812431812286377
20,2019-09-30,SELL,NVDA,2049,4.272919654846191,8768.024804592133
21,2019-09-30,BUY,TSLA,543,16.142000198364258,2.918696880340576
22,2019-10-31,SELL,TSLA,929,21.000667572021484,19512.5388712883
23,2019-10-31,BUY,NFLX,13,291.45001220703125,15723.688712596893
24,2019-10-31,BUY,NVDA,3060,5.050086498260498,270.4240279197693
25,2019-11-29,SELL,TSLA,1456,22.086000442504883,32427.64067220688
26,2019-11-29,BUY,NFLX,12,315.92999267578125,28636.480760097504
27,2019-11-29,BUY,NVDA,5232,5.433221817016602,209.8642134666443
28,2019-12-31,SELL,NFLX,3,323.30999755859375,1179.7942061424255
29,2019-12-31,SELL,NVDA,11902,5.783753395080566,70018.02711439133
30,2019-12-31,BUY,CSCO,1731,40.44773483276367,2.9981188774108887
